"method","diagnostic","state","observed_statistic","simulated_median","simulated_q025","simulated_q975","p_value","sharpness_value","sharpness_label","interpretation_label","n_sims","n_effective","warning","model","model_label"
"M4_three_state_fixed","state_occupancy",3,0.0056969696969697,0.0340408163265306,0.00221428571428573,0.110928571428571,0.95,0.566008753311116,"moderate","pass_moderate",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","state_occupancy_total_variation",NA,0.014006734006734,0.0284897959183674,0.00417006802721096,0.0812789115646258,0.8,2.70654155238392,"diffuse","pass_diffuse",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","state_residence_time",1,6.73781676413256,1.88693161475116,1.61281820622986,3.621906701277,0.01,1.0647383660826,"moderate","fail",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","state_residence_time",2,0.485902888534468,0.340825277479413,0.268681525241676,0.675743376297888,0.12,1.19434169355993,"moderate","pass_moderate",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","state_residence_time",3,1.42628920786816,0.48828320802005,0.399915861081275,1.1174201873732,0.01,1.46944293764865,"moderate","fail",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","switching_rate",NA,0.102470488012657,0.0223752151462995,0.00196705188099336,0.0838517334644701,0.02,0.58360212709942,"moderate","fail",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","transition_counts",NA,0.0883306690102734,0.062842645039815,0.0194508711202388,0.164086553541932,0.26,2.30155270063076,"diffuse","pass_diffuse",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","state_conditioned_step_length",1,0.160306434418923,0.0145220653653001,0.0116820623743563,0.0238379104675515,0.01,0.83705997850976,"moderate","fail",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","state_conditioned_step_length",2,0.33388540884184,0.268341097456823,0.222699811634384,0.569583462370168,0.24,1.29269665025735,"moderate","pass_moderate",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","state_conditioned_step_length",3,0.0847985759950998,0.056991164556529,0.0465724067703914,0.0925870662839109,0.07,0.807399739899693,"moderate","pass_moderate",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","state_conditioned_turning_angle",1,0.00395792753580471,0.0302809005781311,0.00159397109347068,0.0853360150751618,0.92,2.14171740549153,"diffuse","pass_diffuse",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","state_conditioned_turning_angle",2,0.00108882670957444,0.0297103349014486,0.00211563216830672,0.126592545354522,0.98,0.208901200568852,"sharp","pass_sharp",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","state_conditioned_turning_angle",3,0.0637752726924383,0.0384313964238224,0.000524109117486944,0.135863718336494,0.29,0.547185310204369,"moderate","pass_moderate",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","state_conditioned_msd",1,620.567298021999,16.2200648361219,0.273397230584613,265.34674488708,0.02,1.89269278447601,"diffuse","fail",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","state_conditioned_msd",2,NA,NA,NA,NA,NA,NA,"not_available","not_available",0,0,"Too few state-specific points; low power.","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","state_conditioned_msd",3,636.569722992085,55.3316999492163,1.78376077185498,824.205596688361,0.04,1.70753757116704,"diffuse","fail",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
